date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:09:28	58302/58302	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:23:59%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index.html	(from )
05:09:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2023:39:29%20GMT	https://duruthemes.com/robots.txt		(from )
05:09:30	5993/5993	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2000:24:02%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/img/favicon.png	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/img/favicon.png	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:30	869/869	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2000:24:01%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/css/plugins.css	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/css/plugins.css	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:31	118097/118097	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2000:24:01%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/css/style.css	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/css/style.css	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:31	9165/9165	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2000:24:02%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/img/logo.png	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/img/logo.png	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:31	59960/59960	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:23:59%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index2.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index2.html	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:32	63655/63655	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:23:59%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index3.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index3.html	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:32	59475/59475	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:00%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index4.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index4.html	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:33	52848/52848	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:00%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index5.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index5.html	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:33	56366/56366	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:00%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index6.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index6.html	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
05:09:33	57512/57512	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:00%20GMT	https://duruthemes.com/demo/html/cappa/demo1-dark/index7.html	C:/My%20Web%20Sites/White%20Lotus/duruthemes.com/demo/html/cappa/demo1-dark/index7.html	(from https://duruthemes.com/demo/html/cappa/demo1-dark/index.html)
